a	a	dt	a	a	0
Work	Work	n1	Work	work	0
so	so	av	so	so	0
infinite	infinite	j	infinite	infinite	0
he	he	pns31	he	he	0
spann'd	spann'd	vvn	spanned	span	0
,	,	,	,	,	0
Jealous	Jealous	j	Jealous	jealous	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
that	that	d	that	that	0
some	some	d	some	some	0
less	less	dc	less	less	0
skilful	skilful	j	skilful	skilful	0
hand	hand	n1	hand	hand	0
(	(	(	(	(	0
Such	Such	d	Such	such	0
as	as	p-acp	as	as	0
disquiet	disquiet	n-jn	disquiet	disquiet	0
always	always	av	always	always	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
well	well	av	well	well	0
,	,	,	,	,	0
And	And	cc	And	and	0
by	by	p-acp	by	by	0
ill	ill	n-jn	ill	ill	0
imitating	imitating	vvg	imitating	imitate	0
would	would	vmd	would	will	0
excell	excell	vvi	excel	excel	0
)	)	)	)	)	0
Might	Might	vmd	Might	may	0
hence	hence	av	hence	hence	0
presume	presume	vvi	presume	presume	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Creations	Creations	ng1	Creations	creation	0
day	day	n1	day	day	0
To	To	pc-acp	To	to	0
change	change	vvi	change	change	0
in	in	p-acp	in	in	0
Scenes	Scenes	n2	Scenes	scene	0
,	,	,	,	,	0
and	and	cc	and	and	0
show	show	vvi	show	show	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Play	Play	n1	Play	play	0
.	.	.	.	.	1
Pardon	Pardon	n1	Pardon	pardon	0
me	me	pno11	me	i	0
,	,	,	,	,	0
Mighty	Mighty	j	Mighty	mighty	0
Poet	Poet	n1	Poet	poet	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
despise	despise	vvb	despise	despise	0
My	My	po11	My	my	0
causeless	causeless	j	causeless	causeless	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
impious	impious	j	impious	impious	0
,	,	,	,	,	0
surmise	surmise	n1	surmise	surmise	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
now	now	av	now	now	0
convinc'd	convinc'd	vvd	convinced	convince	0
,	,	,	,	,	0
and	and	cc	and	and	0
none	none	pix	none	none	0
will	will	vmb	will	will	0
dare	dare	vvi	dare	dare	0
Within	Within	p-acp	Within	within	0
thy	thy	po21	thy	thy	0
Labours	Labours	n2	Labours	labour	0
to	to	pc-acp	to	to	0
pretend	pretend	vvi	pretend	pretend	0
a	a	dt	a	a	0
share	share	n1	share	share	0
.	.	.	.	.	1
Thou	Thou	pns21	Thou	thou	0
hast	hast	vh2	hast	have	0
not	not	xx	not	not	0
miss'd	miss'd	vvn	missed	miss	0
one	one	crd	one	one	0
thought	thought	n1	thought	thought	0
that	that	cst	that	that	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
fit	fit	j	fit	fit	0
,	,	,	,	,	0
And	And	cc	And	and	0
all	all	d	all	all	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
improper	improper	j	improper	improper	0
dost	dost	vd2	dost	do	0
omit	omit	vvi	omit	omit	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
no	no	dx	no	no	0
room	room	n1	room	room	0
is	is	vbz	is	be	0
here	here	av	here	here	0
for	for	p-acp	for	for	0
Writers	Writers	n2	Writers	writer	0
left	left	vvn	left	leave	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
to	to	pc-acp	to	to	0
detect	detect	vvi	detect	detect	0
their	their	po32	their	their	0
Ignorance	Ignorance	n1	Ignorance	ignorance	0
or	or	cc	or	or	0
Theft	Theft	n1	Theft	theft	0
.	.	.	.	.	1
That	That	cst	That	that	0
Majesty	Majesty	n1	Majesty	majesty	0
which	which	r-crq	which	which	0
through	through	p-acp	through	through	0
thy	thy	po21	thy	thy	0
Work	Work	n1	Work	work	0
doth	doth	vdz	does	do	0
Reign	Reign	vvi	Reign	reign	0
Draws	Draws	vvz	Draws	draw	0
the	the	dt	the	the	0
Devout	Devout	j	Devout	devout	0
,	,	,	,	,	0
deterring	deterring	vvg	deterring	deter	0
the	the	dt	the	the	0
Profane	Profane	j	Profane	profane	0
.	.	.	.	.	1
And	And	cc	And	and	0
things	things	n2	things	thing	0
divine	divine	vvb	divine	divine	0
thou	thou	pns21	thou	thou	0
treatst	treatst	vv2	treatst	treatst	0
of	of	a-acp	of	off	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
state	state	n1	state	state	0
As	As	p-acp	As	as	0
them	them	pno32	them	they	0
preserves	preserves	vvz	preserves	preserve	0
,	,	,	,	,	0
and	and	cc	and	and	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
inviolate	inviolate	j	inviolate	inviolate	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
once	once	a-acp	once	once	0
delight	delight	n1	delight	delight	0
and	and	cc	and	and	0
horrour	horrour	n1	horror	horror	0
on	on	p-acp	on	on	0
us	us	pno12	us	we	0
seise	seise	vvi	seize	seize	0
,	,	,	,	,	0
Thou	Thou	pns21	Thou	thou	0
singst	singst	vv2	singest	sing	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
much	much	d	much	much	0
gravity	gravity	n1	gravity	gravity	0
and	and	cc	and	and	0
ease	ease	n1	ease	ease	0
;	;	;	;	;	0
And	And	cc	And	and	0
