,am_ep,paradiselost,fq1596,fowre_hymnes,axiochus,prothalamion
aggravate,0.0,3.6945957207744073,3.6945957207744073,0.0,0.0,0.0
aggregated,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aggrieved,0.0,0.0,11.26381484247684,0.0,0.0,0.0
aghast,0.0,1.8472978603872037,40.64055292851848,0.0,0.0,0.0
agitation,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aglaia,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aglets,0.0,0.0,4.505525936990736,0.0,0.0,0.0
ago,0.0,0.0,13.516577810972208,0.0,0.0,0.0
agonic,0.0,2.252762968495368,0.0,0.0,0.0,0.0
agonies,0.0,0.0,2.252762968495368,0.0,0.0,0.0
agony,0.0,3.6945957207744073,12.931085022710425,0.0,0.0,0.0
agra,0.0,2.252762968495368,0.0,0.0,0.0,0.0
agree,6.238463151741691,0.0,29.632699970773032,4.678847363806268,0.0,0.0
agreeably,0.0,0.0,4.505525936990736,0.0,0.0,0.0
agreed,0.0,0.0,56.3190742123842,0.0,0.0,0.0
agreeing,0.0,0.0,6.758288905486104,0.0,0.0,0.0
agreement,1.8472978603872037,0.0,1.8472978603872037,0.0,0.0,0.0
agrise,0.0,0.0,6.758288905486104,0.0,0.0,0.0
agrized,0.0,0.0,2.252762968495368,0.0,0.0,0.0
agros,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aguised,0.0,0.0,9.011051873981472,0.0,0.0,0.0
aguize,0.0,0.0,2.252762968495368,0.0,0.0,0.0
ahaz,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aialon,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aid,3.1192315758708453,32.751931546643874,115.41156830722127,0.0,0.0,0.0
aiding,2.252762968495368,0.0,0.0,0.0,0.0,0.0
aierie,0.0,2.252762968495368,0.0,0.0,0.0,0.0
ail,0.0,0.0,4.505525936990736,0.0,0.0,0.0
aim,0.0,7.798078939677113,7.798078939677113,1.5596157879354227,0.0,0.0
aimed,0.0,3.6945957207744073,12.931085022710425,0.0,0.0,0.0
aimest,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aiming,1.8472978603872037,0.0,1.8472978603872037,0.0,0.0,0.0
aims,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aint,2.252762968495368,0.0,0.0,0.0,0.0,0.0
aiolly,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aire,0.0,0.0,3.6945957207744073,1.8472978603872037,0.0,0.0
airs,0.0,11.26381484247684,0.0,0.0,0.0,0.0
airy,0.0,3.6945957207744073,5.541893581161611,0.0,0.0,0.0
alabaster,0.0,1.8472978603872037,7.389191441548815,0.0,0.0,0.0
alablasted,0.0,0.0,2.252762968495368,0.0,0.0,0.0
alacrity,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aladine,0.0,0.0,6.758288905486104,0.0,0.0,0.0
aladule,0.0,2.252762968495368,0.0,0.0,0.0,0.0
alaid,0.0,0.0,0.0,2.252762968495368,0.0,0.0
alarm,0.0,5.541893581161611,7.389191441548815,0.0,0.0,0.0
alarmed,0.0,2.252762968495368,0.0,0.0,0.0,0.0
alarms,0.0,0.0,5.541893581161611,0.0,0.0,1.8472978603872037
alas,1.5596157879354227,3.1192315758708453,12.476926303483381,0.0,0.0,0.0
alba,0.0,0.0,2.252762968495368,0.0,0.0,0.0
albanact,0.0,0.0,2.252762968495368,0.0,0.0,0.0
albanese,0.0,0.0,2.252762968495368,0.0,0.0,0.0
albania,0.0,0.0,4.505525936990736,0.0,0.0,0.0
albanie,0.0,0.0,2.252762968495368,0.0,0.0,0.0
albany,0.0,0.0,2.252762968495368,0.0,0.0,0.0
